Model,Website,Title,Price (TL),URL
Beko 300 TR,https://pazarama.com,BEKO 300 TR Temassız Yazarkasa,15999.0,https://pazarama.com/arama?q=Beko%20300%20TR
Beko 400 TR,https://pazarama.com,Beko 400 TR Temassız Android Yazarkasa+Pos Cihazı,17845.99,https://pazarama.com/arama?q=Beko%20400%20TR
Beko 400 TR,https://pazarama.com,Beko 400 TR Android POS,15000.0,https://pazarama.com/arama?q=Beko%20400%20TR
Beko X30 TR,https://pazarama.com,Beko X30 TR Yazar Kasa Pos Cihazı,9000.0,https://pazarama.com/arama?q=Beko%20X30%20TR
Beko X30 TR,https://pazarama.com,Beko X30 TR Yazar Kasa Android POS,9899.0,https://pazarama.com/arama?q=Beko%20X30%20TR
Beko X30 TR,https://pazarama.com,Beko X30TR Yazar Kasa Pos,9499.0,https://pazarama.com/arama?q=Beko%20X30%20TR
Verifone T650P,https://pazarama.com,Verifone Vx-680 Mobil Yazarkasa Pos,13750.0,https://pazarama.com/arama?q=Verifone%20T650P
Verifone T650P,https://pazarama.com,VERIFONE VX 680 ECR MOBIL YAZARKASA POS,4999.0,https://pazarama.com/arama?q=Verifone%20T650P
Verifone T650P,https://pazarama.com,MeetSun VERİFONE VX-680 MOBİL YAZARKASA POS,13750.0,https://pazarama.com/arama?q=Verifone%20T650P
Inpos M530,https://pazarama.com,INPOS M530 YENİ NESİL YAZAR KASA,5799.0,https://pazarama.com/arama?q=Inpos%20M530
Inpos M530,https://pazarama.com,İNPOS M530 MOBİL 4G TEMASSIZ YAZARKASAPOS YENİ NESİL,5799.0,https://pazarama.com/arama?q=Inpos%20M530
Inpos M530,https://pazarama.com,Inpos M530 Yazar Kasa Pos Cihazı,5799.0,https://pazarama.com/arama?q=Inpos%20M530
Inpos M530,https://pazarama.com,İNPOS M530 YAZARKASA POS,5799.0,https://pazarama.com/arama?q=Inpos%20M530
Inpos M530,https://pazarama.com,İNPOS M530 YAZARKASA POS SÜPER CİHAZ,6299.0,https://pazarama.com/arama?q=Inpos%20M530
Inpos M530,https://pazarama.com,INPOS M530 MOBİL YAZARKASA,5799.0,https://pazarama.com/arama?q=Inpos%20M530
Inpos M530,https://pazarama.com,inpos m530 yeni nesil yazarkasa pos,5799.0,https://pazarama.com/arama?q=Inpos%20M530
Inpos M530,https://pazarama.com,Farisoğlu Elektronik - Inpos M530 Yeni Nesil Temassız ve QR Kod Ödeme Özellikli Yazar Kasa Pos,6443.33,https://pazarama.com/arama?q=Inpos%20M530
